code,date,median_salary,mean_salary,population_size,area
E09000021,12/1/2001,21427,27219,149045,kingston upon thames
E09000022,12/1/2001,24019,30242,273372,lambeth
E09000023,12/1/2001,21990,24850,254336,lewisham
E09000024,12/1/2001,21014,25615,191106,merton
E09000025,12/1/2001,21054,27763,249411,newham
E09000026,12/1/2001,21106,24321,241893,redbridge
E09000027,12/1/2001,23799,29854,174311,richmond upon thames
E09000028,12/1/2001,27114,29423,256712,southwark
E09000029,12/1/2001,22972,25235,181461,sutton
E09000030,12/1/2001,31232,55045,201090,tower hamlets
E09000031,12/1/2001,21245,23023,222015,waltham forest
E09000032,12/1/2001,22054,25861,271742,wandsworth
E09000033,12/1/2001,26829,41566,203329,westminster
E12000001,12/1/2001,17844,20103,2540090,north east
E12000002,12/1/2001,18567,21594,6772985,north west
E12000003,12/1/2001,18270,20875,4976643,yorkshire and the humber
E12000004,12/1/2001,18291,20932,4189622,east midlands
E12000005,12/1/2001,18756,22024,5280727,west midlands
E12000006,12/1/2001,19978,23615,5400463,east
E12000007,12/1/2001,25215,35140,7322403,london
E12000008,12/1/2001,20907,25259,8023449,south east
E12000009,12/1/2001,18465,21524,4943364,south west
E13000001,12/1/2001,,-,2859375,inner london
E13000002,12/1/2001,,-,4463028,outer london
E92000001,12/1/2001,19997,24505,49449746,england
K02000001,12/1/2001,19722,23925,59113497,united kingdom
K03000001,12/1/2001,19779,24035,57424178,great britain
K04000001,12/1/2001,19898,24292,52359978,england and wales
N92000002,12/1/2001,17529,20131,1688838,northern ireland
S92000003,12/1/2001,18610,21523,5064200,scotland
W92000004,12/1/2001,18018,20161,2910232,wales
E09000001,12/1/2002,39750,56450,7280,city of london
E09000002,12/1/2002,24813,26653,166357,barking and dagenham
E09000003,12/1/2002,23112,30210,320552,barnet
E09000004,12/1/2002,21101,23517,219123,bexley
E09000005,12/1/2002,21350,24071,269871,brent
E09000006,12/1/2002,16635,21513,296668,bromley
E09000007,12/1/2002,27432,34486,203972,camden
E09000008,12/1/2002,22675,25815,335415,croydon
E09000009,12/1/2002,24542,29470,309242,ealing
E09000010,12/1/2002,24654,26835,280745,enfield
E09000011,12/1/2002,21846,23853,221476,greenwich
E09000012,12/1/2002,24582,32321,210961,hackney
E09000013,12/1/2002,28012,37855,171989,hammersmith and fulham
E09000014,12/1/2002,21972,23632,224474,haringey
E09000015,12/1/2002,23176,26303,212336,harrow
E09000016,12/1/2002,16123,19520,225054,havering
E09000017,12/1/2002,26159,30463,247063,hillingdon
E09000018,12/1/2002,24399,32582,216888,hounslow
E09000019,12/1/2002,33497,54080,180118,islington
E09000020,12/1/2002,26649,35481,163827,kensington and chelsea
E09000021,12/1/2002,22575,29702,149642,kingston upon thames
E09000022,12/1/2002,24952,31630,273041,lambeth
E09000023,12/1/2002,23254,25909,253662,lewisham
E09000024,12/1/2002,22429,27052,190561,merton
E09000025,12/1/2002,21420,24900,255282,newham
E09000026,12/1/2002,22133,24512,244273,redbridge
E09000027,12/1/2002,23311,30680,175441,richmond upon thames
E09000028,12/1/2002,28062,30906,256269,southwark
E09000029,12/1/2002,23311,25965,181265,sutton
E09000030,12/1/2002,31168,49998,207031,tower hamlets
E09000031,12/1/2002,21799,23817,223776,waltham forest
E09000032,12/1/2002,23720,27665,274917,wandsworth
E09000033,12/1/2002,28879,43576,208100,westminster
E12000001,12/1/2002,18076,20798,2540600,north east
E12000002,12/1/2002,19234,22738,6784880,north west
E12000003,12/1/2002,18863,21805,5000111,yorkshire and the humber
E12000004,12/1/2002,19125,22065,4221753,east midlands
E12000005,12/1/2002,19225,22571,5301243,west midlands
E12000006,12/1/2002,20495,24434,5432688,east
E12000007,12/1/2002,26467,35739,7376671,london
E12000008,12/1/2002,21940,26691,8045192,south east
E12000009,12/1/2002,19233,22706,4976129,south west
E13000001,12/1/2002,,-,2890923,inner london
E13000002,12/1/2002,,-,4485748,outer london
E92000001,12/1/2002,20706,25542,49679267,england
K02000001,12/1/2002,20376,24911,59365677,united kingdom
K03000001,12/1/2002,20435,25016,57668143,great britain
K04000001,12/1/2002,20562,25301,52602143,england and wales
N92000002,12/1/2002,18325,21225,1697534,northern ireland
S92000003,12/1/2002,19167,22317,5066000,scotland
W92000004,12/1/2002,18189,20951,2922876,wales
E09000001,12/1/2003,41795,64272,7115,city of london
E09000002,12/1/2003,25358,27792,166210,barking and dagenham
E09000003,12/1/2003,23828,30518,321802,barnet
E09000004,12/1/2003,22247,24723,220016,bexley
E09000005,12/1/2003,23018,29790,268323,brent
E09000006,12/1/2003,19042,25474,297253,bromley
E09000007,12/1/2003,30002,38106,204254,camden
E09000008,12/1/2003,22838,26920,335919,croydon
E09000009,12/1/2003,24349,30117,308108,ealing
E09000010,12/1/2003,22463,25595,281835,enfield
E09000011,12/1/2003,23600,26002,224303,greenwich
E09000012,12/1/2003,25149,31035,212405,hackney
E09000013,12/1/2003,29831,35226,171510,hammersmith and fulham
E09000014,12/1/2003,22422,24551,225027,haringey
E09000015,12/1/2003,22796,27980,213728,harrow
E09000016,12/1/2003,18250,21167,225248,havering
E09000017,12/1/2003,26774,30875,248054,hillingdon
E09000018,12/1/2003,26019,33322,216498,hounslow
E09000019,12/1/2003,33579,49632,180899,islington
E09000020,12/1/2003,26213,35812,165268,kensington and chelsea
E09000021,12/1/2003,23813,32569,149683,kingston upon thames
E09000022,12/1/2003,26034,32702,272195,lambeth
E09000023,12/1/2003,22069,25320,251936,lewisham
E09000024,12/1/2003,22959,30607,189298,merton
E09000025,12/1/2003,22792,26461,256224,newham
E09000026,12/1/2003,23407,26086,247412,redbridge
E09000027,12/1/2003,25549,29463,177182,richmond upon thames
E09000028,12/1/2003,29307,32241,255242,southwark
E09000029,12/1/2003,24455,27147,181267,sutton
E09000030,12/1/2003,34281,55530,208651,tower hamlets
E09000031,12/1/2003,22918,25374,224115,waltham forest
E09000032,12/1/2003,24299,29446,276828,wandsworth
E09000033,12/1/2003,29254,43694,211009,westminster
E12000001,12/1/2003,18228,21359,2540461,north east
E12000002,12/1/2003,19916,23261,6814660,north west
E12000003,12/1/2003,19659,22694,5026314,yorkshire and the humber
E12000004,12/1/2003,19847,22817,4255080,east midlands
E12000005,12/1/2003,19786,23132,5325475,west midlands
E12000006,12/1/2003,21511,25609,5474133,east
E12000007,12/1/2003,27455,37416,7394817,london
E12000008,12/1/2003,22843,27576,8087924,south east
E12000009,12/1/2003,20000,23715,5006653,south west
E13000001,12/1/2003,,-,2898563,inner london
E13000002,12/1/2003,,-,4496254,outer london
E92000001,12/1/2003,21500,26462,49925517,england
K02000001,12/1/2003,21124,25818,59636662,united kingdom
K03000001,12/1/2003,21200,25939,57931738,great britain
K04000001,12/1/2003,21359,26225,52863238,england and wales
N92000002,12/1/2003,18502,21610,1704924,northern ireland
S92000003,12/1/2003,19799,23080,5068500,scotland
W92000004,12/1/2003,19130,21837,2937721,wales
E09000001,12/1/2004,43347,66628,7118,city of london
E09000002,12/1/2004,26089,29088,165610,barking and dagenham
E09000003,12/1/2004,,30795,323723,barnet
E09000004,12/1/2004,20946,24617,220917,bexley
E09000005,12/1/2004,23323,25416,268335,brent
E09000006,12/1/2004,21192,27617,297307,bromley
E09000007,12/1/2004,30510,38595,207341,camden
E09000008,12/1/2004,24371,28816,337134,croydon
E09000009,12/1/2004,26722,31153,310073,ealing
E09000010,12/1/2004,27414,31068,282217,enfield
E09000011,12/1/2004,25387,27369,227190,greenwich
E09000012,12/1/2004,26687,31862,213581,hackney
E09000013,12/1/2004,29830,37273,172083,hammersmith and fulham
E09000014,12/1/2004,23481,26260,226472,haringey
E09000015,12/1/2004,24750,29745,216267,harrow
E09000016,12/1/2004,18240,21505,225769,havering
E09000017,12/1/2004,28003,31685,248691,hillingdon
E09000018,12/1/2004,27457,34015,219440,hounslow
E09000019,12/1/2004,30410,40812,180831,islington
E09000020,12/1/2004,26846,37784,165752,kensington and chelsea
E09000021,12/1/2004,23708,30786,151055,kingston upon thames
E09000022,12/1/2004,27186,37154,274262,lambeth
E09000023,12/1/2004,25238,26340,252455,lewisham
E09000024,12/1/2004,23208,30224,188908,merton
E09000025,12/1/2004,,29224,254434,newham
E09000026,12/1/2004,,27206,248774,redbridge
E09000027,12/1/2004,26770,30582,179312,richmond upon thames
E09000028,12/1/2004,29609,34875,257257,southwark
E09000029,12/1/2004,24514,27747,181094,sutton
E09000030,12/1/2004,39128,66095,211154,tower hamlets
E09000031,12/1/2004,23857,25435,225002,waltham forest
E09000032,12/1/2004,26137,30740,278615,wandsworth
E09000033,12/1/2004,31482,46350,214557,westminster
E12000001,12/1/2004,19247,22377,2540502,north east
E12000002,12/1/2004,20717,24490,6840369,north west
E12000003,12/1/2004,20433,24051,5063199,yorkshire and the humber
E12000004,12/1/2004,20691,23665,4291476,east midlands
E12000005,12/1/2004,20765,24341,5346376,west midlands
E12000006,12/1/2004,22242,26634,5508564,east
E12000007,12/1/2004,28750,39489,7432730,london
E12000008,12/1/2004,23748,28574,8133100,south east
E12000009,12/1/2004,20694,24449,5038284,south west
E13000001,12/1/2004,31339,46107,2915912,inner london
E13000002,12/1/2004,25000,29207,4516818,outer london
E92000001,12/1/2004,22418,27736,50194600,england
K02000001,12/1/2004,22056,27027,59950364,united kingdom
K03000001,12/1/2004,22103,27138,58236322,great britain
K04000001,12/1/2004,22284,27478,53152022,england and wales
N92000002,12/1/2004,19622,23094,1714042,northern ireland
S92000003,12/1/2004,20598,23850,5084300,scotland
W92000004,12/1/2004,20085,22751,2957422,wales
E09000001,12/1/2005,45000,74004,7131,city of london
E09000002,12/1/2005,26680,28728,166275,barking and dagenham
E09000003,12/1/2005,27033,31652,327541,barnet
E09000004,12/1/2005,23936,28162,222391,bexley
E09000005,12/1/2005,24209,27371,270939,brent
E09000006,12/1/2005,24241,29955,299421,bromley
E09000007,12/1/2005,31358,39826,211088,camden
E09000008,12/1/2005,24652,28101,339052,croydon
E09000009,12/1/2005,27235,32106,312774,ealing
E09000010,12/1/2005,24594,27568,284779,enfield
E09000011,12/1/2005,26330,29105,230494,greenwich
E09000012,12/1/2005,28923,35597,216512,hackney
E09000013,12/1/2005,30787,42492,173292,hammersmith and fulham
E09000014,12/1/2005,24626,26991,229271,haringey
E09000015,12/1/2005,26162,30339,221109,harrow
E09000016,12/1/2005,24296,27736,226990,havering
E09000017,12/1/2005,29351,32725,251430,hillingdon
E09000018,12/1/2005,29584,35410,223776,hounslow
E09000019,12/1/2005,30499,37231,183477,islington
E09000020,12/1/2005,26855,33106,168375,kensington and chelsea
E09000021,12/1/2005,24937,32985,152489,kingston upon thames
E09000022,12/1/2005,28347,36464,277620,lambeth
E09000023,12/1/2005,28022,30443,254930,lewisham
E09000024,12/1/2005,25991,30422,190583,merton
E09000025,12/1/2005,26331,28450,253798,newham
E09000026,12/1/2005,26462,30087,251560,redbridge
E09000027,12/1/2005,26809,30298,181508,richmond upon thames
E09000028,12/1/2005,29534,36022,261811,southwark
E09000029,12/1/2005,25714,29187,182103,sutton
E09000030,12/1/2005,39493,71063,213382,tower hamlets
E09000031,12/1/2005,21931,25800,226747,waltham forest
E09000032,12/1/2005,26549,31455,283229,wandsworth
E09000033,12/1/2005,32519,50430,223132,westminster
E12000001,12/1/2005,20263,23557,2547127,north east
E12000002,12/1/2005,21777,25613,6870021,north west
E12000003,12/1/2005,21506,25500,5108408,yorkshire and the humber
E12000004,12/1/2005,21494,24700,4329112,east midlands
E12000005,12/1/2005,21447,25250,5380687,west midlands
E12000006,12/1/2005,22883,27860,5562653,east
E12000007,12/1/2005,29882,41707,7519009,london
E12000008,12/1/2005,24229,29276,8202896,south east
E12000009,12/1/2005,21279,25440,5086121,south west
E13000001,12/1/2005,32230,48936,2957048,inner london
E13000002,12/1/2005,26176,30404,4561961,outer london
E92000001,12/1/2005,23280,28928,50606034,england
K02000001,12/1/2005,22888,28191,60413276,united kingdom
K03000001,12/1/2005,22970,28327,58685543,great britain
K04000001,12/1/2005,23151,28660,53575343,england and wales
N92000002,12/1/2005,20060,23399,1727733,northern ireland
S92000003,12/1/2005,21312,25107,5110200,scotland
W92000004,12/1/2005,20634,23587,2969309,wales
E09000001,12/1/2006,46292,85886,7254,city of london
E09000002,12/1/2006,26549,28660,167157,barking and dagenham
E09000003,12/1/2006,26071,30923,330801,barnet
E09000004,12/1/2006,24719,28847,223280,bexley
E09000005,12/1/2006,25279,29712,276504,brent
E09000006,12/1/2006,25715,#,300963,bromley
E09000007,12/1/2006,32418,40593,211032,camden
E09000008,12/1/2006,26049,29842,340449,croydon
E09000009,12/1/2006,26354,32130,315329,ealing
E09000010,12/1/2006,25088,28912,287429,enfield
E09000011,12/1/2006,27363,29714,233990,greenwich
E09000012,12/1/2006,30105,34874,220193,hackney
E09000013,12/1/2006,30464,42838,174675,hammersmith and fulham
E09000014,12/1/2006,27020,29726,233174,haringey
E09000015,12/1/2006,25575,30342,223632,harrow
E09000016,12/1/2006,26394,28459,228198,havering
E09000017,12/1/2006,28771,32034,254387,hillingdon
E09000018,12/1/2006,26853,34303,228126,hounslow
E09000019,12/1/2006,33995,50794,185283,islington
E09000020,12/1/2006,26619,33350,165245,kensington and chelsea
E09000021,12/1/2006,25640,32566,153667,kingston upon thames
E09000022,12/1/2006,29930,38233,280524,lambeth
E09000023,12/1/2006,27021,30142,257976,lewisham
E09000024,12/1/2006,24883,29305,192520,merton
E09000025,12/1/2006,27162,30873,257994,newham
E09000026,12/1/2006,27940,31319,255590,redbridge
E09000027,12/1/2006,28610,33258,182520,richmond upon thames
E09000028,12/1/2006,31575,39075,267553,southwark
E09000029,12/1/2006,25102,28965,182882,sutton
E09000030,12/1/2006,38975,62719,218400,tower hamlets
E09000031,12/1/2006,23074,27449,230731,waltham forest
E09000032,12/1/2006,27405,32887,287538,wandsworth
E09000033,12/1/2006,33474,53229,222829,westminster
E12000001,12/1/2006,20613,24178,2552568,north east
E12000002,12/1/2006,22000,26299,6901585,north west
E12000003,12/1/2006,21674,25446,5134016,yorkshire and the humber
E12000004,12/1/2006,21946,25731,4366676,east midlands
E12000005,12/1/2006,22000,25975,5415521,west midlands
E12000006,12/1/2006,23517,28497,5606294,east
E12000007,12/1/2006,30355,43557,7597825,london
E12000008,12/1/2006,24798,30365,8270861,south east
E12000009,12/1/2006,21815,26159,5119840,south west
E13000001,12/1/2006,33333,51556,2989670,inner london
E13000002,12/1/2006,26399,31096,4608155,outer london
E92000001,12/1/2006,23729,29836,50965186,england
K02000001,12/1/2006,23367,29079,60827067,united kingdom
K03000001,12/1/2006,23444,29225,59083954,great britain
K04000001,12/1/2006,23564,29538,53950854,england and wales
N92000002,12/1/2006,20739,24212,1743113,northern ireland
S92000003,12/1/2006,22373,26121,5133100,scotland
W92000004,12/1/2006,20790,24037,2985668,wales
E09000001,12/1/2007,49955,86778,7607,city of london
E09000002,12/1/2007,30200,31994,169031,barking and dagenham
E09000003,12/1/2007,27436,33007,334837,barnet
E09000004,12/1/2007,26457,30375,224625,bexley
E09000005,12/1/2007,25763,28503,283273,brent
E09000006,12/1/2007,25666,35021,302625,bromley
E09000007,12/1/2007,33059,40595,211520,camden
E09000008,12/1/2007,25965,29341,344029,croydon
E09000009,12/1/2007,27490,34374,318671,ealing
E09000010,12/1/2007,26325,28949,291534,enfield
E09000011,12/1/2007,29319,32003,236535,greenwich
E09000012,12/1/2007,28996,35390,224480,hackney
E09000013,12/1/2007,33535,46996,176472,hammersmith and fulham
E09000014,12/1/2007,26281,29032,236793,haringey
E09000015,12/1/2007,26107,31063,226355,harrow
E09000016,12/1/2007,26079,29418,229789,havering
E09000017,12/1/2007,30290,33992,256981,hillingdon
E09000018,12/1/2007,27547,34303,233454,hounslow
E09000019,12/1/2007,34779,53641,188636,islington
E09000020,12/1/2007,28355,33248,162883,kensington and chelsea
E09000021,12/1/2007,27274,33513,154485,kingston upon thames
E09000022,12/1/2007,30633,41050,284964,lambeth
E09000023,12/1/2007,27673,29832,261188,lewisham
E09000024,12/1/2007,26346,30731,194260,merton
E09000025,12/1/2007,27434,32363,266285,newham
E09000026,12/1/2007,29429,33111,259965,redbridge
E09000027,12/1/2007,30881,37366,182421,richmond upon thames
E09000028,12/1/2007,32000,39710,272626,southwark
E09000029,12/1/2007,25182,28531,184174,sutton
E09000030,12/1/2007,41117,72749,225251,tower hamlets
E09000031,12/1/2007,25034,27129,235665,waltham forest
E09000032,12/1/2007,30513,38209,291440,wandsworth
E09000033,12/1/2007,35315,52597,220619,westminster
E12000001,12/1/2007,21076,24299,2562045,north east
E12000002,12/1/2007,22889,27308,6929277,north west
E12000003,12/1/2007,22307,26101,5164138,yorkshire and the humber
E12000004,12/1/2007,22222,26269,4404774,east midlands
E12000005,12/1/2007,22543,26563,5451924,west midlands
E12000006,12/1/2007,24061,29338,5653534,east
E12000007,12/1/2007,31484,45027,7693473,london
E12000008,12/1/2007,25583,31491,8351391,south east
E12000009,12/1/2007,22665,27480,5170537,south west
E13000001,12/1/2007,34415,53119,3030764,inner london
E13000002,12/1/2007,27478,32073,4662709,outer london
E92000001,12/1/2007,24480,30802,51381093,england
K02000001,12/1/2007,24043,30015,61319075,united kingdom
K03000001,12/1/2007,24147,30176,59557392,great britain
K04000001,12/1/2007,24255,30481,54387392,england and wales
N92000002,12/1/2007,20934,24704,1761683,northern ireland
S92000003,12/1/2007,23098,27179,5170000,scotland
W92000004,12/1/2007,21105,24518,3006299,wales
E09000001,12/1/2008,50503,82973,7429,city of london
E09000002,12/1/2008,29396,31795,172452,barking and dagenham
E09000003,12/1/2008,27978,34468,339212,barnet
E09000004,12/1/2008,28326,31305,226652,bexley
E09000005,12/1/2008,27326,29631,290901,brent
E09000006,12/1/2008,27236,33378,304968,bromley
E09000007,12/1/2008,35314,42816,210273,camden
E09000008,12/1/2008,27482,31842,349308,croydon
E09000009,12/1/2008,29439,35772,324022,ealing
E09000010,12/1/2008,25550,28930,297443,enfield
E09000011,12/1/2008,30766,33637,239748,greenwich
E09000012,12/1/2008,31589,39016,231041,hackney
E09000013,12/1/2008,,46620,177088,hammersmith and fulham
E09000014,12/1/2008,29859,31703,244459,haringey
E09000015,12/1/2008,27627,31746,229567,harrow
E09000016,12/1/2008,28800,32386,231793,havering
E09000017,12/1/2008,31291,37349,261051,hillingdon
E09000018,12/1/2008,29475,39109,237907,hounslow
E09000019,12/1/2008,36357,58261,192089,islington
E09000020,12/1/2008,30217,37538,162579,kensington and chelsea
E09000021,12/1/2008,26583,33180,156027,kingston upon thames
E09000022,12/1/2008,30566,41396,289126,lambeth
E09000023,12/1/2008,29403,31399,266508,lewisham
E09000024,12/1/2008,28363,31929,195859,merton
E09000025,12/1/2008,29467,34686,276478,newham
E09000026,12/1/2008,29283,32261,265452,redbridge
E09000027,12/1/2008,32437,37760,182927,richmond upon thames
E09000028,12/1/2008,31227,40353,276973,southwark
E09000029,12/1/2008,26082,29869,185860,sutton
E09000030,12/1/2008,41880,70217,231893,tower hamlets
E09000031,12/1/2008,26609,28814,242098,waltham forest
E09000032,12/1/2008,30808,40916,294305,wandsworth
E09000033,12/1/2008,36048,59836,218673,westminster
E12000001,12/1/2008,21931,25601,2569312,north east
E12000002,12/1/2008,23740,28111,6958547,north west
E12000003,12/1/2008,23357,27597,5198675,yorkshire and the humber
E12000004,12/1/2008,23271,28167,4441125,east midlands
E12000005,12/1/2008,23849,27930,5496240,west midlands
E12000006,12/1/2008,24949,30364,5708350,east
E12000007,12/1/2008,32813,47116,7812161,london
E12000008,12/1/2008,26778,32978,8426399,south east
E12000009,12/1/2008,23648,28416,5205044,south west
E13000001,12/1/2008,35774,55236,3078914,inner london
E13000002,12/1/2008,28608,33547,4733247,outer london
E92000001,12/1/2008,25549,32358,51815853,england
K02000001,12/1/2008,25165,31494,61823772,united kingdom
K03000001,12/1/2008,25277,31683,60044620,great britain
K04000001,12/1/2008,25373,32014,54841720,england and wales
N92000002,12/1/2008,22122,25470,1779152,northern ireland
S92000003,12/1/2008,24105,28393,5202900,scotland
W92000004,12/1/2008,21830,25690,3025867,wales
E09000001,12/1/2009,52092,80769,7472,city of london
E09000002,12/1/2009,30973,33126,177580,barking and dagenham
E09000003,12/1/2009,30496,35013,345829,barnet
E09000004,12/1/2009,28222,31988,228146,bexley
E09000005,12/1/2009,27503,31033,298118,brent
E09000006,12/1/2009,26951,33329,306924,bromley
E09000007,12/1/2009,36375,45633,212924,camden
E09000008,12/1/2009,28225,33826,352763,croydon
E09000009,12/1/2009,28234,34873,329966,ealing
E09000010,12/1/2009,27828,31584,301971,enfield
E09000011,12/1/2009,29871,33344,243672,greenwich
E09000012,12/1/2009,33107,46556,236622,hackney
E09000013,12/1/2009,36525,45516,180116,hammersmith and fulham
E09000014,12/1/2009,28515,30817,249805,haringey
E09000015,12/1/2009,27532,31352,233495,harrow
E09000016,12/1/2009,28317,30993,234127,havering
E09000017,12/1/2009,31584,37424,265665,hillingdon
E09000018,12/1/2009,31672,42241,243366,hounslow
E09000019,12/1/2009,36981,55027,196704,islington
E09000020,12/1/2009,29901,36101,161893,kensington and chelsea
E09000021,12/1/2009,27497,33834,157307,kingston upon thames
E09000022,12/1/2009,33415,44262,294050,lambeth
E09000023,12/1/2009,30891,32708,270418,lewisham
E09000024,12/1/2009,27662,30330,198136,merton
E09000025,12/1/2009,31028,34487,286447,newham
E09000026,12/1/2009,31235,32648,270435,redbridge
E09000027,12/1/2009,31733,40992,184394,richmond upon thames
